BrandName	COUNT(Product.ProductID)	AVG(Product.ProductPrice)
abc	67	497.026716
Johnson Inc	56	524.994107
Lewis PLC	59	452.550847
Smith Inc	55	488.451455
Franco-Raymond	46	531.838913
Hernandez	49	470.855510
Crawford Group	53	463.361321
Green Inc	41	571.201463
Wilkinson	47	471.304681
Ruiz Inc	3	535.090000
Warner-Campbell	1	875.340000
Keller Inc	5	630.194000
Owens-Butler	2	590.775000
Fernandez-Ramirez	4	287.685000
Cole-Mclaughlin	3	745.106667
Dickerson	6	439.610000
Little	1	679.650000
Hopkins	2	425.355000
Doyle-Curry	5	389.534000
Hayes	2	776.990000
Jennings and Sons	6	452.530000
Mills and Sons	3	359.286667
Mendoza-Phillips	1	707.450000
Bailey LLC	4	669.645000
Orr-Simpson	5	565.826000
Suarez-Hamilton	6	489.521667
Jimenez Inc	3	473.226667
Mitchell-Taylor	1	853.990000
Phillips	1	266.820000
Benson	4	485.302500
Graham LLC	5	449.968000
Evans PLC	1	786.270000
Fischer Inc	3	347.633333
Clarke PLC	1	837.170000
Duncan-Swanson	4	565.645000
Barnes-Boyd	4	484.920000
Porter and Sons	2	587.225000
Coleman-Allen	3	351.400000
Swanson-Martin	4	446.042500
Holland	1	163.030000
Richardson	1	625.050000
Johnson	5	488.374000
Smith-Maldonado	4	486.210000
Gonzalez-Lee	2	120.115000
Wallace-Davis	3	536.370000
Ward	4	634.660000
Warren	5	182.130000
Glenn-Flores	2	207.855000
Jacobs	5	751.194000
Cook	2	438.810000
Smith-Lee	2	558.355000
Luna-Poole	4	450.790000
Stevens Ltd	2	615.040000
Sheppard PLC	2	704.595000
Martinez	4	623.840000
Miller	3	448.243333
Murphy-Welch	3	417.830000
Hill-Hunter	5	453.320000
Reyes-Davis	4	374.987500
Garcia-Hamilton	4	595.955000
Smith	3	625.636667
Mack-Schultz	3	415.946667
Williams-Myers	2	452.150000
Cooper Inc	3	528.896667
Brown Inc	3	478.220000
Rodriguez-Smith	3	771.110000
Gallagher-Foster	2	367.605000
Lopez LLC	5	335.790000
Gomez	3	183.466667
Miles-Herman	1	215.460000
Molina PLC	2	581.790000
Martinez Inc	4	685.072500
Nelson	3	352.006667
Hensley and Sons	1	280.820000
Craig-Finley	3	351.160000
Reed and Sons	3	555.790000
Riley PLC	1	253.060000
Reed-Fernandez	3	261.133333
Walker	2	394.160000
Andrews	3	598.530000
Santiago PLC	1	241.150000
Baker-Trevino	1	692.210000
Bradley	7	351.970000
Bell LLC	2	572.855000
King-Mendoza	3	753.140000
Smith-Gomez	11	526.094545
Walter Inc	5	551.516000
Bell-Trujillo	4	596.202500
Warren-Green	6	554.530000
Baker	2	880.695000
Parker	4	312.630000
