BrandName	ProductName	ProductPrice
abc	happy	112.87
abc	maintain	608.64
abc	trial	377.99
abc	when	134.19
abc	pattern	76.38
abc	employee	454.93
abc	church	124.31
abc	performance	874.13
abc	training	361.48
abc	government	843.67
abc	wonder	589.17
abc	cup	995.07
abc	Congress	504.99
abc	part	49.68
abc	chance	209.08
abc	direction	860.18
abc	try	792.80
abc	near	405.86
abc	pressure	673.23
abc	north	423.76
abc	toward	837.87
abc	term	823.74
abc	increase	659.10
abc	hold	989.81
abc	election	878.89
abc	nearly	863.34
abc	choice	150.36
abc	court	94.61
abc	detail	639.51
abc	approach	555.42
abc	personal	826.48
abc	compare	543.54
abc	participant	288.87
abc	special	271.49
abc	determine	26.45
abc	sort	242.64
abc	would	376.71
abc	trial	165.47
abc	poor	963.36
abc	Mr	333.22
abc	first	720.07
abc	offer	509.13
abc	management	593.87
abc	vote	427.01
abc	attention	435.61
abc	rule	147.99
abc	have	777.01
abc	coach	605.64
abc	capital	989.20
abc	political	101.03
abc	argue	990.92
abc	resource	905.74
abc	Congress	537.19
abc	account	609.98
abc	will	129.96
abc	central	507.01
abc	language	303.33
abc	his	66.84
abc	treat	777.70
abc	country	364.58
abc	worry	380.20
abc	party	509.72
abc	five	43.54
abc	close	565.13
abc	song	734.62
abc	student	17.00
abc	information	547.48
