BrandID	BrandName	BrandDescription
1	abc	Front-line optimizing standardization
2	Johnson Inc	Compatible demand-driven array
3	Lewis PLC	Proactive background focus group
4	Smith Inc	Function-based contextually-based focus group
5	Franco-Raymond	Customer-focused human-resource encryption
6	"Hernandez	 Harrison and Ford"
7	Crawford Group	Customer-focused clear-thinking encoding
8	Green Inc	Centralized grid-enabled collaboration
9	"Wilkinson	 Cowan and Brown"
10	Ruiz Inc	Distributed scalable definition
