SupplierID,SupplierName,ContactName,Phone
85e15c45-cbce-467f-929e-9ecea1a33907,Ware-Walters,Oscar Garcia,7707511194
0afe63c1-a171-4ce7-81e6-030f5ae4ffb6,Callahan-Austin,Nicole Murray,918-572-8133x5835
ac1b48c8-babb-4dec-88e9-0ea35ab76c52,Fry-Bennett,Dawn Molina,001-831-453-4899
ef7dc95b-9437-4274-a5ac-3b7488312ce3,"Peterson, Farley and Fleming",Cynthia Morrison,(947)771-7543
d9102829-d771-4d0c-b617-5221a4aa26dc,Hickman PLC,David Grimes,694.884.0543
a147a544-0d81-4615-9379-6aae303c0457,Martin Inc,Damon Stewart,001-424-844-3003x487
ae1614a3-cd73-4fa8-b1b2-58ee453b482e,"Wood, Martin and Morgan",Timothy Young,001-948-662-1059
fa5c2a38-6bd9-4850-a3cc-2b67d21322d3,Bernard-Ortiz,Morgan Lambert,(505)652-4164x091
009b0a94-24bf-410c-a57b-04409100f0cc,Moore and Sons,Kimberly Gonzalez,967.595.1719
7672b76a-b318-4269-a361-902e6f882c5d,Curry Ltd,Destiny Miller,+1-454-462-6401
26960391-527e-4550-a3f2-f318cefe8cbe,"Huynh, Nixon and Watson",Anna Ortiz,001-615-497-5504x341
36d9dae2-c475-4a3f-971f-4dbba0d88baa,"Wood, Russo and Butler",Jason Scott,(513)736-7769x42402
6339a7e8-7fd3-49ac-af33-8acacf7ea102,"Brown, Peters and Douglas",Ashley Woodward,925-701-1592x839
964fcdec-0e96-49d5-ba24-5145e1f94c57,Fields and Sons,Jacqueline Leon,(651)389-7776x8664
95771d53-8cd0-437a-a678-dfec24a57e86,Weeks Group,Amy Adams,538-356-6024x923
bc0a9b5d-d5a4-4274-a93e-110e70ae3778,"Calhoun, Graham and Deleon",Sarah Gonzalez,5142831841
6cdcc8ed-4a4b-4be1-8c5e-849d40aaa26f,Day-Spears,Melody Delacruz,5215012890
63408abf-7c77-4628-a635-d74c4d50c066,"Stewart, Taylor and Copeland",Carol Romero,420.942.3442
